"","Cav1.TGFB1","Cav1.TGFB2","Cav1.TGFB3","Cav1.Ctrl1","Cav1.Ctrl2","Cav1.Ctrl3","Con1.TGFB1","Con1.TGFB2","Con1.TGFB3","Con1.Ctrl1","Con1.Ctrl2","Con1.Ctrl3"
"10425211",8.21047060813823,8.17927960442815,8.11826418610105,8.60608859393918,8.87837089581033,8.67102527669621,8.43181109111721,8.38977417766875,8.2446460064171,8.6468282191493,8.7141355276254,8.52907026195051
"10409557",11.8665762499981,11.7764474140639,11.6932226430164,11.4384195623866,11.2869327290929,11.1487758155351,11.8802659961225,11.7457684015658,11.7080678440304,11.5880786497643,11.4995152828252,11.3726069804422
"10352143",8.97283137074309,8.47891296537,8.58853050164949,7.26546757318953,7.19306048262644,7.12426372079607,8.628915747129,8.21066654241999,8.38895750940668,7.10762221261248,6.96710734602887,7.06091441921961
"10354003",5.93025286198717,5.73989837497325,5.76699765054571,5.60540524614209,5.47278192118327,5.38682082162478,5.68401723629008,5.55100055752138,5.39171549827528,5.63112244319786,5.39332075015136,5.48787117749188
"10345715",11.9168170050279,11.8884798827622,11.9757345935558,11.2160628674123,10.9630067317936,10.9389520440057,11.8731124028919,11.801801875364,11.9512258334187,11.338225104797,11.1964785191559,11.2436070130166
"10508686",10.2951962020213,10.402340979108,10.4263353017551,10.5355267802802,10.6722178886995,10.7705758513031,10.2307060448286,10.3735304614286,10.2879458287791,10.4042495947687,10.5821970734052,10.5947621659816
"10468916",9.68789427912822,9.50653234002369,9.76828995668573,8.81957331157555,8.57043169066065,8.52920017085656,9.65412389869822,9.25250350880312,9.56568697162535,9.20654448353128,8.82222011859356,8.81965531695738
"10481320",9.92660694043456,9.78172551377235,10.0214376101956,9.61766418778783,9.5085434703951,9.54763669316146,9.99460074366287,9.7514882505905,9.97636571362747,9.82218849305282,9.57001224654317,9.66585691297748
"10470665",10.3611659384084,10.3894501094947,10.4478962064536,9.95051192583998,10.0110940906089,10.1830998624731,10.2893635570209,10.2850810972683,10.3049723630676,9.94844097419683,9.97530878871969,10.137166224444
"10432511",7.17641642691212,7.10591716269379,6.95751662313491,8.08352580200505,7.66334973142884,7.84952589677581,7.18603705840284,6.94095356839276,7.11483027896461,8.54792058639552,7.92320466173777,8.30423145030021
"10486833",6.49821400731931,6.63095335930552,6.49544454659242,6.97448622193531,6.91461979517919,6.82347399787363,6.71868380163482,6.60068520426205,6.60261749742606,7.06005173017689,7.163108664559,6.95165736833161
"10487722",10.9222930562929,10.4819685272337,10.5044775270155,9.44135365602672,9.49305078695695,10.081851587222,11.0585428397297,10.5661423075791,10.470101638508,9.27264319060147,9.21540151582137,9.58146337854492
"10376534",12.7195204313542,12.7423483007757,12.7741374617367,12.1529947716891,12.0513101941986,12.1388604512208,12.6399576703349,12.6478648638695,12.7524473939056,12.1281346667224,12.0279617376371,12.1939414936206
"10557058",7.83368864575315,7.64036729447292,7.83513341401455,7.29449107452595,7.45313166352701,7.86712146139251,7.69368487065779,7.73237493884152,7.97427013687968,7.54320072236338,7.57125583360303,8.16300806161952
"10591726",9.22878783336007,9.07637136911889,9.0996296888688,9.41299531735275,9.28242479234367,9.31883093321042,9.40048074760174,9.06207047722149,9.20653140582346,9.43104353332962,9.38905668768318,9.2806511056637
"10490706",9.61135362262285,9.2953532651183,9.48022287749104,10.0217749880115,9.90472140422131,10.0299126971939,9.56791501660871,9.31182942925718,9.47209655172772,9.97730255780125,10.0046637533721,10.1288078483317
"10382462",10.9777742178993,10.952816409509,10.8691205734104,11.6945703047415,11.8148021217034,11.7763819565094,11.1047632746679,11.1165534237435,10.9841194811004,11.7478158773274,11.7741571930167,11.6725905333265
"10423745",7.27670776292719,7.20624077528619,7.32744037363086,7.01687448749243,6.96301228498335,7.1164054018826,7.3895489848209,7.2627813444164,7.34740489557356,7.0896540926532,7.04022568810956,7.45290748205672
"10491825",7.01381625540784,6.99294930227446,7.10008614691877,7.31667989217834,7.56262460354585,7.67484978687959,6.93171140343776,7.03905445031376,6.90908076401618,7.34480396796487,7.31507248187166,7.37114359361723
"10498448",6.79282663562007,6.86394091210319,6.689356921096,7.16520299926426,7.22875556333242,7.72552467703376,6.9702857753146,6.87423334048506,6.76347290218563,7.29093106267945,7.39535987127453,7.48660925573325
"10595081",7.8564044968944,6.71442973736707,6.62741642360822,6.66562357166927,6.43926048679292,6.41313733663461,8.30971824069704,7.14850243582513,7.34368133453037,6.8380777506674,6.43205137632294,6.65107913526965
"10503602",8.13494600026744,7.96080322271382,8.09104828385453,8.24708132883969,7.95526715945361,8.28311115677005,8.21320974233045,7.94586911556984,8.13305124527203,8.24022840430104,8.20166721597803,8.24604435994823
"10512867",11.3231496849718,11.1603565329679,11.2207043031829,10.3977690905595,10.2829278067849,10.4180059841669,11.2805982573089,11.1051944429023,11.1609519086842,10.5146827656015,10.4244027893524,10.5001438544055
"10517009",7.5918324279755,7.71202573462156,7.65578562085089,8.16693417813801,8.13370937816195,7.92339167532089,7.61674002126205,7.75626928574419,7.69484079616428,8.06264433349362,8.00656273797929,7.86698658117901
"10520782",9.02244070306096,9.1076595517595,9.10704904946053,8.82262793701136,8.85053484007182,8.93690741000386,9.29597551892168,9.30658154655171,9.39634207541132,9.29892585658984,9.10847928758136,9.30813055127938
"10534281",9.94086228837548,9.6990935889322,9.82981973990162,9.45898966577777,8.92428482657292,8.96293791598816,9.91653866572582,9.48282264669811,9.64277514897188,9.4155411810875,9.04662236926501,9.14878387714616
"10436426",9.85478609994121,9.82183169889518,10.0825458714641,8.92331765235201,8.85897830602642,8.75064453219693,9.68264732815311,9.65232730857732,9.75922451542473,8.92364860587546,8.75467534780328,8.7559517247823
"10539741",10.439290783873,10.3787023608441,10.5251588965052,11.065910736233,11.2013057873434,11.2312049948162,10.3914436358539,10.3348836428837,10.4207318620208,11.1632722215938,11.2659883845024,11.3786748991153
"10554013",11.4046733350287,11.7569688325496,12.1277085038865,10.4792525274674,10.4366633851961,10.3737191260911,11.1307418919181,11.2763416184415,11.5186371504625,10.6261479453162,10.4433161155233,10.5688399613915
"10564857",11.4921860037911,11.6691952066775,11.6267281865025,11.9289812795795,11.8514283532314,11.7632592768942,11.5723843008673,11.6190135146504,11.5757772257322,11.922439963371,11.9317219442403,11.8587822196782
"10557754",10.4070031167856,10.3556240107444,10.5042890980805,10.9331812909561,10.9759839011506,11.0783519141981,10.4286820079943,10.2570387597983,10.349033739016,10.7150249851281,10.610915267669,10.5434761821497
"10425240",9.6643814252512,9.75595376466227,9.93854290593429,9.21880350746481,9.32592186451543,9.27026283492137,9.63769950434597,9.60078981930743,9.697866704221,9.19791470294953,9.23120880627102,9.41873049327632
"10582811",10.05788604994,9.71478718948138,9.64917411971166,10.4212152710213,10.3341580724804,10.2884717501293,9.98338498832776,9.53635495940163,9.53422764102607,10.50467547087,10.3379777424777,10.3808663233426
"10583207",8.21724156666804,8.14754992618526,8.1715428507808,6.79789487707266,6.8749665086221,6.71071787706127,7.66613933151701,7.75681366987788,7.66498203454536,6.62490384279312,6.90945647082201,6.88531461220896
"10592763",8.86891908331595,8.92237214854495,8.97243839836658,8.68567679855632,8.65502547530783,8.48990628958512,8.95215685278598,8.85294077104346,8.96413398884456,8.70580641598691,8.55708491430638,8.52424791918079
"10593634",8.38358710161868,8.1528377406577,8.00159010532202,8.85160377625837,8.54733508356175,8.97684479515152,8.38969697595102,8.581566997208,8.35989195650442,9.11570967328437,8.76168709675244,9.17035399554215
"10585972",8.06923422800823,8.32198334911699,8.4726818705303,6.7543079081633,6.83123938577539,8.00620719899404,7.9755490613524,8.25289880256334,8.18980911865711,6.76108277083609,7.32497245081277,7.88514132413586
"10393648",9.64984340961811,9.72934577985125,9.7306052321959,10.0639940657061,9.98976305911002,10.028379225668,9.83744105859403,9.76875973265544,9.81564136035916,10.0539624644693,10.0003162826224,10.0505791181542
"10360130",11.3763597673958,11.3796596896383,11.4000050863087,11.9182574147682,11.8907347185286,11.8501487594487,11.550135168467,11.4758290043197,11.426725656051,11.9662918380691,11.9087076150479,11.9037138974724
"10405058",5.24338766336756,5.2373931887188,5.28950134777956,6.00710232863764,6.23194952131742,6.70133296902936,5.29538302304445,5.24748356184466,5.71479638919239,6.18458073888159,5.9898937686913,6.25922937940655
"10543067",11.3636426837394,11.0692412531095,11.1040903359365,11.567015901611,11.5265360802487,11.2845203621848,11.5412579920425,11.2051290180423,11.2165673978253,12.0572825776452,11.9075124010663,11.6845404237232
"10464529",12.3320666661295,12.2021847802116,12.2625145116145,11.8770268894896,12.0307010288684,12.2089855382053,12.195132956855,12.0864566996687,12.142071806679,11.7616544587955,11.8219637830431,11.7901363309474
"10605792",8.1850999172997,8.26993579077499,8.12192475836735,8.5687233171577,8.58397979980828,8.57693168875138,8.76252839825499,8.54109699027033,8.21523100027317,8.91715393812041,8.91082186626438,8.63828971288411
"10602865",7.22770956209682,6.9707308711166,6.86435804452309,7.15551256684694,6.8499000144478,6.86491632479306,7.47871696740448,6.87381592980805,6.94373449586602,7.25558589409775,6.86435804452309,6.87352078665054
"10600150",9.69095999385623,9.79048213570733,9.87678489447129,9.15812168034909,9.31493945277179,9.35093180823632,9.66674721203592,9.66313894625035,9.79282279899769,9.37905568879627,9.31098145213743,9.42370903606882
"10389606",6.76317556170785,6.78382936631444,6.61275529725971,7.74650833937853,7.53708303407088,7.5810560412278,6.78902038395835,6.81082192476362,6.70051303432295,8.08018355167936,7.86239836494001,7.8753342684173
"10474725",9.57594870067152,9.55878575276886,9.60595873115131,9.05418234923064,9.20259992757379,9.32021526051348,9.52292520700378,9.56248675877058,9.60355854517569,9.04961713162767,9.12299456836354,9.3198967154647
"10431154",8.69065195118868,8.29247302472999,8.45681310590773,7.63975995788211,7.40110544768098,7.41502793201606,8.39514393804406,8.23751489225149,8.44599403942896,7.4019797336522,7.52918460574638,7.67907932414327
"10371466",8.42322290478967,8.16181278862465,8.25153531325566,8.60911007216564,8.71352104172296,8.70196899233225,8.50447694060453,8.35231584962485,8.25992497808512,8.71903799272908,8.69611837473684,8.70924731787556
"10601942",7.83211458929639,9.08881702084224,8.22943546997234,7.26460461662866,7.16538497620611,7.72618848220076,7.77643859739651,8.80147682361206,8.23569522633891,6.56671263207865,6.36096726107507,6.3806801430261
