"","Cav1.TGFB1","Cav1.TGFB2","Cav1.TGFB3","Cav1.Ctrl1","Cav1.Ctrl2","Cav1.Ctrl3","Con1.TGFB1","Con1.TGFB2","Con1.TGFB3","Con1.Ctrl1","Con1.Ctrl2","Con1.Ctrl3"
"Ano1",11.4902034510188,11.2353833126072,11.8200960855187,7.64875790165119,7.44964043619526,7.40842832940443,11.1067092847117,10.7588280326584,11.0268241687471,7.51142721596292,7.35549331783109,7.48671734108992
"Slc6a8",12.0175052647722,11.9185585075472,12.1256046226271,10.8522183521888,11.0486980813992,10.9959347695275,12.0831817224835,11.9437143843964,12.0314834625418,10.9687756739313,11.0354662796746,11.0324481041052
"Upb1",7.7806475465662,7.82474673105286,7.58005386215002,8.88718999080452,9.08523509447796,8.90597338153989,7.86648512114952,7.96654502021954,7.63963136564194,8.96087808548051,9.14654672696972,8.90418235832894
"Apof",8.7794291607405,9.7660681324469,8.79108105456884,11.6917171886789,12.1141157390989,12.2346246913711,9.1805085619452,9.88079606034408,9.04301983578356,11.2392295506813,11.6411513771717,11.3507268165577
"Chchd10",10.5977220525788,10.20399209252,9.61661378849542,11.7267375665516,11.7382563708768,11.433281592684,11.1341639626668,10.8923781207548,10.38892136661,11.8991439513923,11.865159470208,11.6159439713913
"Sec14l4",8.88682434450557,9.03776862971628,8.53429658560756,10.8791110717477,11.0099450923935,10.8537133922839,9.38899682984207,9.48572336666013,9.07428461998902,10.8081007029507,10.9291662838877,10.7989587640449
"Cyp27a1",10.4469256161575,10.0758642637251,9.9006144574362,11.4995408819274,11.4706247496363,11.3579664837586,11.0159049175383,10.7070466855263,10.65774111367,11.7591177290267,11.7066121062614,11.637048027544
"Ces1d",6.46913508158851,6.79927101822977,6.16064299540885,8.53318420575693,8.86733410327458,8.06389092113766,6.67210683117007,6.98983449935944,6.67609398981438,9.21010019091555,9.08368995415795,8.37454397187203
"Slc16a6",7.85372468783157,7.79349730721097,6.96406189932408,10.0551108885715,9.97704853587387,10.2093140224905,8.27839993916223,8.14558561074353,7.83698476669301,9.95873738622348,10.0360963213448,9.9436652604886
"Rab15",10.1729815888376,10.2373376593027,10.6192920880972,6.50460703016237,6.38247003547313,6.43428932890821,9.53028056015172,9.58226298664382,9.68940048032849,6.31694570773503,6.54730773235649,6.4936426320625
"Arrdc3",8.22260049837866,8.08938362676518,8.23842407588871,9.87890359565921,9.3394971397079,9.20094253857666,8.46500937600697,8.15964201305206,8.45143460106197,9.52735489501421,9.13660831421923,8.62442762845036
"Itpr3os",7.73888522627921,8.23029653343072,8.56174588498126,6.94913150562904,6.900227672433,6.63624583819978,7.58484280139251,7.86018676811454,7.66034280572085,6.9672160698246,6.66829322312342,6.84310776350544
"Akr1c18",5.69450397526541,5.82278421368113,5.52002733251952,8.73807776595026,9.3276621254081,9.19431514217641,5.93409500297727,5.80012047631601,5.8802711628915,8.15196743872586,9.34295751148026,8.89164111943169
"Slc17a3",8.75724066859015,8.8901662031479,8.85135716748526,7.41918757347176,7.50021885985326,7.84068264714806,8.65573370657679,8.99409320713619,8.97633796926639,7.13504205236421,7.59437766190691,7.33515925689745
